FREQUENCY,RASTERVALU,COUNT,CLASSNAME,LC_Prop,ExpCount
1,3001,192,Inter-Mountain Basins Sparsely Vegetated Systems,0.000542246,0.506999771
34,3019,17179,Great Basin Pinyon-Juniper Woodland,0.048516873,45.36327641
61,3079,23297,Great Basin Xeric Mixed Sagebrush Shrubland,0.065795308,61.51861287
70,3080,15547,Inter-Mountain Basins Big Sagebrush Shrubland,0.043907784,41.05377835
433,3081,154575,Inter-Mountain Basins Mixed Salt Desert Scrub,0.436550187,408.1744252
1,3115,573,Inter-Mountain Basins Juniper Savanna,0.001618265,1.513077442
3,3125,565,Inter-Mountain Basins Big Sagebrush Steppe,0.001595671,1.491952452
1,3127,138,Inter-Mountain Basins Semi-Desert Shrub-Steppe,0.000389739,0.364406086
93,3153,23808,Inter-Mountain Basins Greasewood Flat,0.067238472,62.86797163
188,3181,93182,Introduced Upland Vegetation-Annual Grassland,0.263164286,246.0586077
24,3183,6979,Introduced Upland Vegetation-Annual and Biennial Forbland,0.019710068,18.42891356
1,3219,516,Inter-Mountain Basins Sparsely Vegetated Systems II,0.001457285,1.362561885
4,3220,1073,Artemisia tridentata ssp. vaseyana Shrubland Alliance,0.003030363,2.833389347
4,3294,7815,Barren,0.022071096,20.63647506
2,3296,1144,Developed-Low Intensity,0.003230881,3.020873637
5,3297,1145,Developed-Medium Intensity,0.003233705,3.023514261
1,3298,771,Developed-High Intensity,0.002177456,2.035920956
6,3299,2646,Developed-Roads,0.007472824,6.987090597
1,3903,2769,Western Cool Temperate Urban Herbaceous,0.0078202,7.311887326
2,3924,169,Western Cool Temperate Developed Ruderal Grassland,0.000477289,0.446265424
935,,,,,935
